product_id,product_name,brand,category,energy_kj,energy_kcal,saturated_fat,sugar,sodium_mg,sodium_g,protein,fiber,fruits_veg_nuts_pct,additives_count,is_organic,nutriscore_score,nutriscore_grade,ecoscore_score,ecoscore_grade
P044,Pain de mie sans sucres ajoutés,Harrys,Pains,1085,259,1.8,2.2,625,0.63,8.5,4.2,0.0,4,No,5,C,56,C
P046,Pain brioché individuel,Brossard,Pains,1520,363,5.8,19.5,385,0.39,7.5,2.2,0.0,9,No,17,D,40,D
P047,Pain petit épeautre complet bio,Bjorg,Pains,1005,240,0.5,2.4,445,0.45,9.8,8.5,0.0,0,Yes,-4,A,86,A
P048,Pain pita complet,Carrefour,Pains,1075,257,0.8,3.5,565,0.57,9.2,5.8,0.0,2,No,4,C,58,B
P049,Baguette bio à l'ancienne,U Bio,Pains,1125,269,0.6,2.6,515,0.52,9.5,5.5,0.0,0,Yes,0,A,78,B
P050,Naan fromage,Paul,Pains,1395,333,5.2,4.5,685,0.69,11.2,3.2,0.0,6,No,13,D,46,C
P051,Pain complet sésame bio,Biocoop,Pains,1095,262,1.8,2.9,455,0.46,11.5,8.2,8.0,0,Yes,-1,A,85,A
P052,Pain brioché nanterre,Pasquier,Pains,1495,357,6.2,15.5,375,0.38,7.8,2.5,0.0,7,No,15,D,43,D
P053,Pain de seigle complet bio,Carrefour Bio,Pains,995,238,0.5,2.5,495,0.5,8.5,9.2,0.0,0,Yes,-3,A,84,A
P054,Pain burger bacon,Harrys,Pains,1315,314,4.2,7.5,745,0.75,9.8,3.2,0.0,8,No,13,D,42,D
P055,Pain aux 12 céréales bio,Bjorg,Pains,1065,254,0.9,3.2,475,0.48,10.5,8.8,8.0,0,Yes,-1,A,85,A
P056,Pain de mie nature XXL,Jacquet,Pains,1145,273,2.0,6.0,625,0.63,8.0,2.8,0.0,6,No,9,C,50,C
P057,Brioche vendéenne,Paul,Pains,1465,350,5.5,14.2,365,0.37,7.5,2.5,0.0,6,No,14,D,45,C
P058,Pain kamut bio,U Bio,Pains,1050,251,0.7,2.7,445,0.45,10.2,7.8,0.0,0,Yes,-2,A,85,A
P059,Baguette précuite pierre,Auchan,Pains,1175,281,0.4,2.6,715,0.72,8.8,3.5,0.0,2,No,6,C,58,B
P060,Pain polaire nature,Casino,Pains,1215,290,1.8,5.8,605,0.61,8.8,3.2,0.0,4,No,9,C,51,C
P061,Pain complet chanvre bio,Biocoop,Pains,1075,257,1.2,2.8,465,0.47,11.0,8.5,5.0,0,Yes,-1,A,86,A
P062,Fougasse chorizo,Monoprix,Pains,1425,341,5.5,3.5,925,0.93,10.8,3.2,0.0,7,No,14,D,41,D
P063,Pain de mie complet sans cro?te,Harrys,Pains,1065,254,1.5,4.5,595,0.6,8.8,5.2,0.0,4,No,6,C,55,C
P064,Baguette campagne,La Boulangère,Pains,1160,277,0.5,2.8,685,0.69,9.0,4.2,0.0,1,No,5,C,60,B
P065,Pain brioché pépites chocolat,Brossard,Pains,1615,386,8.8,26.5,395,0.4,7.5,2.8,0.0,10,No,21,E,36,E
P066,Pain essène germé bio,Carrefour Bio,Pains,975,233,0.4,2.2,365,0.37,9.5,9.5,0.0,0,Yes,-6,A,89,A
P067,Naan ail,Jacquet,Pains,1335,319,4.2,4.8,625,0.63,8.8,3.2,0.0,5,No,12,D,48,C
P068,Pain muffin complet,Casino,Pains,1095,262,1.0,4.2,605,0.61,9.2,5.5,0.0,3,No,5,C,57,B
P069,Pain bio sarrasin quinoa,Bjorg,Pains,1035,247,0.8,2.5,435,0.44,10.5,8.8,5.0,0,Yes,-3,A,87,A
P070,Baguette aux noix,Paul,Pains,1235,295,2.8,3.5,665,0.67,10.2,5.2,18.0,2,No,5,C,62,B
P071,Pain de mie sandwich XXL,Harrys,Pains,1155,276,2.2,6.5,625,0.63,8.0,2.8,0.0,7,No,10,C,48,C
P072,Ciabatta romarin,Leclerc,Pains,1195,285,0.8,2.6,745,0.75,8.8,3.8,0.0,2,No,7,C,57,B
P073,Pain burger graines,Jacquet,Pains,1215,290,2.2,6.8,595,0.6,9.8,4.5,8.0,4,No,8,C,54,C
P074,Pain complet épeautre bio,U Bio,Pains,1045,250,0.7,2.6,455,0.46,10.0,8.2,0.0,0,Yes,-2,A,85,A
P075,Brioche tressée pur beurre,Pasquier,Pains,1535,367,7.5,18.5,385,0.39,7.5,2.5,0.0,8,No,18,D,40,D
P078,Pain hot-dog nature,Casino,Pains,1265,302,3.2,8.8,645,0.65,8.8,2.8,0.0,7,No,12,D,45,D
P079,Pain nordique bio,Bjorg,Pains,1015,243,0.6,2.8,485,0.49,9.5,8.5,0.0,0,Yes,-3,A,85,A
P080,Fougasse nature,Monoprix,Pains,1225,293,1.5,3.2,695,0.7,8.5,3.5,0.0,2,No,8,C,55,C
P081,Pain de mie brioché XXL,Harrys,Pains,1345,321,4.2,11.5,505,0.51,7.8,2.5,0.0,8,No,13,D,43,D
P082,Baguette bio tradition,La Boulangère,Pains,1155,276,0.5,2.7,625,0.63,9.2,4.5,0.0,0,Yes,1,B,75,B
P083,Pain burger complet,Jacquet,Pains,1165,278,1.8,5.5,585,0.59,9.5,5.2,0.0,3,No,6,C,56,C
P084,Pain aux raisins secs,Paul,Pains,1285,307,1.5,15.5,485,0.49,8.5,4.8,35.0,2,No,10,C,56,C
P085,Pain complet chia bio,U Bio,Pains,1085,259,1.5,2.9,465,0.47,11.2,9.5,8.0,0,Yes,-1,A,86,A
P087,Pain de seigle bio,Carrefour Bio,Pains,1005,240,0.5,2.6,505,0.51,8.2,8.8,0.0,0,Yes,-3,A,84,A
P088,Baguette meunière,Leclerc,Pains,1175,281,0.4,2.6,705,0.71,9.0,3.8,0.0,1,No,6,C,59,B
P089,Pain brioché nature tressé,Brossard,Pains,1475,353,5.8,13.5,375,0.38,7.5,2.5,0.0,7,No,15,D,44,D
P090,Naan nature bio,Bjorg,Pains,1245,297,2.8,3.8,485,0.49,8.8,4.2,0.0,0,Yes,5,C,68,B
P091,Pain muffin anglais complet,Harrys,Pains,1105,264,0.9,4.2,615,0.62,9.2,5.5,0.0,3,No,5,C,58,B
P092,Pain tortilla complet,Jacquet,Pains,1285,307,2.8,3.2,655,0.66,9.2,4.8,0.0,4,No,9,C,52,C
P093,Pain complet pavot bio,Biocoop,Pains,1095,262,1.2,2.9,475,0.48,10.8,8.5,5.0,0,Yes,-1,A,85,A
P094,Baguette épi,La Boulangère,Pains,1185,283,0.5,2.7,715,0.72,8.8,3.8,0.0,2,No,6,C,59,B
P095,Pain de mie nature familial,Casino,Pains,1135,271,2.0,5.8,615,0.62,8.2,3.0,0.0,6,No,9,C,51,C
P096,Ciabatta aux herbes,Paul,Pains,1205,288,0.8,2.5,755,0.76,9.0,3.8,0.0,3,No,7,C,56,C
P097,Pain burger sésame,Harrys,Pains,1235,295,2.5,7.2,605,0.61,9.5,3.8,5.0,5,No,9,C,50,C
P098,Pain bio 5 céréales,U Bio,Pains,1070,256,0.9,3.0,485,0.49,10.5,8.2,8.0,0,Yes,-1,A,84,A
P099,14 Maxi Tranches complet sans sucres ajoutés,Jacquet,Pains,1026,243,0.3,3.8,480,0.48,8.7,6.6,0.0,0,No,2,B,98,A
P101,Pain de mie american sandwich complet sans sucres ajoutés 600g,Harrys,Pains,1178,280,0.5,3.6,440,0.44,7.7,8.1,2.0,0,No,1,B,74,B
P103,Pain AMS complet,Harrys,Pains,1100,253,0.4,4.9,480,0.48,7.7,7.2,14.0,0,No,2,B,100,A
P106,Pain de mie grandes tranches 7 cereales,Maitre Jean Pierre,Pains,1214,290,1.0,3.4,400,0.4,10.4,5.0,5.0,1,No,1,B,75,A
P107,Pain complet,Jacquet,Pains,1038,243,0.3,3.8,480,0.48,8.7,6.6,12.0,0,No,2,B,97,A
P109,"Maestro Cereale avec du Levain, Millet et Quinoa",Schär,Pains,1044,249,0.8,4.1,388,0.388,4.5,9.9,0.0,2,No,2,B,75,A
P111,Le pain au Seigle,Carrefour,Pains,933,221,0.3,3.4,480,0.48,7.1,6.3,0.0,3,No,2,B,82,A
P112,Fines Tartines farine de Seigle,Jacquet,Pains,947,224,0.3,3.8,480,0.48,7.1,8.7,0.0,2,No,1,B,77,A
P113,Pain complet seigle,Bjorg,Pains,835,198,0.2,4.0,440,0.44,4.6,10.0,0.0,0,Yes,2,B,107,A
P116,8 Pains au chocolat pur beurre 400g,La Boulangère,Pains,1725,413,14.0,15.0,320,0.32,6.8,3.8,0.0,1,No,21,E,56,C
P117,Pains au chocolat,Maitre Jean Pierre,Pains,1695,405,10.0,15.0,388,0.388,7.2,2.1,2.0,8,No,0,E,62,B
P121,Salinis,Schär,Pains,2017,482,9.9,2.0,983,0.983,0.9,0.7,0.0,7,No,27,E,62,B
P122,8 Pains au chocolat pur beurre 400g,La Boulangère,Pains,1725,413,14.0,15.0,320,0.32,6.8,3.8,0.0,1,No,21,E,56,C
P123,Croûtons Saveur Ail,Toque du Chef,Pains,2028,486,2.7,1.4,1080,1.08,7.1,0.0,0.0,0,No,21,E,43,D
P124,Elephant Salt,Elephant,Pains,1753,416,0.8,6.6,1120,1.12,9.0,0.0,11.0,4,No,19,E,80,A
P125,Солени Бретцели,"Crusti Croc,Snack Day",Pains,1661,397,3.8,1.3,1774,1.774,10.0,0.0,0.0,1,No,27,E,57,C
P126,Crostini,Schär,Pains,1803,431,7.3,6.6,880,0.88,4.1,5.1,1.0,5,No,21,E,76,A
P127,Biscottes La Bretonne,LU,Pains,1782,426,5.1,12.0,948,0.948,11.0,3.3,0.0,6,No,23,E,70,B
P129,batonnets,"Ferrero, Nutella & go !, nutella",Pains,2126,508,9.0,43.7,244,0.244,7.3,0.0,13.0,2,No,29,E,24,E
P130,Crostini Dorati vivaci,"San Carlo, San Carlo (www.sancarlo.it)",Pains,2326,556,16.0,1.8,560,0.56,8.0,2.7,0.0,0,No,22,E,28,E
P132,Pain 100% mie nature,Tastino,Pains,1992,476,9.9,34.5,500,0.5,5.7,3.3,0.0,0,No,29,E,75,A
P133,Jacobs,"Jacob's, Johnsons, United Biscuits",Pains,1937,463,8.0,4.2,520,0.52,9.1,0.0,0.0,0,No,19,E,81,A
P136,"Croûtons Ronds Nature, Le Sachet De – 500 g",Croutons,Pains,2092,500,3.0,2.6,786,0.786,8.4,2.6,0.0,0,No,17,D,28,E
P137,Croutons aromatises a l'ail LE GRAND LEJON – 100 g,Le grand lejon,Pains,2054,491,2.8,2.6,1139,1.139,8.2,0.0,0.0,0,No,22,E,28,E
P138,Croûtons tomates & basilic – Ciro,Ciro,Pains,1870,447,5.0,3.3,1297,1.297,12.1,0.0,15.597,0,No,25,E,28,E
P139,Crostini Dorati alla Campagnola – San Carlo – 75g,"San Carlo, San Carlo (www.sancarlo.it)",Pains,2326,556,16.0,1.8,550,0.55,8.0,2.7,0.0,0,No,22,E,28,E
